Rank,Major,Degree Type,Early Career Pay,Mid-Career Pay,% High Meaning
24,325,Sales,Bachelors,"$61,500","$91,600",44%
0,326,Environmental Design,Bachelors,"$47,700","$91,400",55%
1,326,Hotel Management,Bachelors,"$49,100","$91,400",44%
2,328,Advertising Design,Bachelors,"$52,700","$91,300",28%
3,328,Digital Arts,Bachelors,"$45,600","$91,300",35%
4,328,Financial Management,Bachelors,"$54,300","$91,300",54%
5,331,Electronic Systems Technology (EST),Bachelors,"$81,000","$91,200",-
6,332,Italian Language,Bachelors,"$51,400","$91,100",43%
7,333,German Studies,Bachelors,"$50,000","$91,000",42%
8,334,Quality Management,Bachelors,"$57,400","$90,800",60%
9,335,Microbiology,Bachelors,"$48,400","$90,300",68%
10,335,Entrepreneurship,Bachelors,"$54,800","$90,300",47%
11,337,Interactive Media,Bachelors,"$52,700","$90,200",35%
12,337,Global Business Management,Bachelors,"$55,900","$90,200",52%
13,337,Network Systems Administration,Bachelors,"$57,900","$90,200",50%
14,337,Police Science,Bachelors,"$55,400","$90,200",-
15,341,Hydrology,Bachelors,"$48,700","$90,100",-
16,342,Business Data Analysis,Bachelors,"$64,700","$90,000",36%
17,342,Database Management,Bachelors,"$65,900","$90,000",-
18,342,Spanish Literature,Bachelors,"$51,100","$90,000",50%
19,345,Business Technology,Bachelors,"$52,800","$89,900",42%
20,346,Business Management & Marketing,Bachelors,"$48,900","$89,800",48%
21,347,Technical Management,Bachelors,"$64,400","$89,700",62%
22,348,Human Biology,Bachelors,"$51,100","$89,600",70%
23,349,Meteorology,Bachelors,"$46,200","$89,500",57%
24,350,Computer Graphics Technology (CGT),Bachelors,"$49,000","$89,200",40%
0,350,Urban Planning,Bachelors,"$50,500","$89,200",53%
1,352,Aviation Technology,Bachelors,"$58,100","$89,100",49%
2,352,Environmental Health,Bachelors,"$50,000","$89,100",65%
3,354,Agricultural Science,Bachelors,"$48,900","$88,900",59%
4,354,Agronomy,Bachelors,"$50,200","$88,900",65%
5,354,International Studies,Bachelors,"$50,000","$88,900",51%
6,357,Design,Bachelors,"$52,800","$88,800",40%
7,358,Applied Science,Bachelors,"$46,400","$88,700",-
8,358,Architectural Engineering Technology,Bachelors,"$52,200","$88,700",59%
9,358,German Language,Bachelors,"$50,700","$88,700",41%
10,361,Technology,Bachelors,"$56,200","$88,600",64%
11,362,Advertising & Promotion,Bachelors,"$46,100","$88,500",46%
12,363,Pre-law,Bachelors,"$46,800","$88,400",45%
13,364,Digital Media,Bachelors,"$47,300","$88,200",38%
14,365,Biological Anthropology,Bachelors,"$46,200","$88,100",49%
15,365,Personal Financial Planning,Bachelors,"$53,800","$88,100",60%
16,367,Professional Pilot Education,Bachelors,"$63,700","$88,000",-
17,367,Textile Technology,Bachelors,"$54,000","$88,000",42%
18,367,Web & Digital Media Development,Bachelors,"$52,300","$88,000",33%
19,370,Entrepreneurial Studies,Bachelors,"$48,700","$87,900",37%
20,371,Fashion Design,Bachelors,"$47,500","$87,700",27%
21,372,Retailing,Bachelors,"$51,300","$87,600",35%
22,373,Business Communication,Bachelors,"$50,900","$87,300",47%
23,373,Environmental Science,Bachelors,"$49,100","$87,300",59%
24,375,Product Design Engineering,Bachelors,"$65,500","$87,200",35%
0,376,English Literature,Bachelors,"$47,700","$87,000",45%
1,376,Logistics,Bachelors,"$57,600","$87,000",41%
2,378,Math & Science,Bachelors,"$55,600","$86,900",66%
3,379,International Trade & Business,Bachelors,"$54,800","$86,800",27%
4,379,Pre-Medicine,Bachelors,"$50,800","$86,800",67%
5,379,Speech & Drama,Bachelors,"$37,500","$86,800",-
6,379,Toxicology,Bachelors,"$44,600","$86,800",-
7,383,Advertising & Marketing,Bachelors,"$49,000","$86,700",38%
8,383,Geographic Information Systems (GIS) & Spatial Analysis,Bachelors,"$54,000","$86,700",57%
9,383,Marketing & Mass Communications,Bachelors,"$45,400","$86,700",41%
10,383,Welding Technology,Bachelors,"$48,400","$86,700",-
11,387,General Business,Bachelors,"$50,200","$86,600",51%
12,388,Construction Engineering Technology,Bachelors,"$55,800","$86,400",53%
13,388,Architectural Studies,Bachelors,"$45,400","$86,400",42%
14,390,Aviation Maintenance Technology,Bachelors,"$51,000","$86,300",60%
15,391,Communication Studies & Journalism,Bachelors,"$44,800","$86,200",47%
16,391,Management,Bachelors,"$51,600","$86,200",48%
17,393,General Science,Bachelors,"$49,100","$86,100",60%
18,393,Magazine Journalism,Bachelors,"$46,800","$86,100",32%
19,395,Electronics & Computer Technology,Bachelors,"$55,600","$86,000",-
20,395,Theatre & Drama Studies,Bachelors,"$44,800","$86,000",49%
21,397,Animation,Bachelors,"$45,000","$85,900",35%
22,397,Biology & Chemistry,Bachelors,"$49,200","$85,900",66%
23,397,Diagnostic Medical Ultrasound,Bachelors,"$67,700","$85,900",67%
24,397,History & Politics,Bachelors,"$49,500","$85,900",51%
0,397,Public Affairs,Bachelors,"$52,700","$85,900",50%
1,397,Romance Languages,Bachelors,"$53,000","$85,900",53%
2,397,Physiology,Bachelors,"$49,300","$85,900",63%
3,404,Corporate Communications,Bachelors,"$48,500","$85,700",42%
4,404,International Affairs,Bachelors,"$51,600","$85,700",52%
5,404,Nursing Science,Bachelors,"$66,800","$85,700",84%
6,404,Organizational Development,Bachelors,"$53,800","$85,700",54%
7,404,Textile & Apparel Studies,Bachelors,"$47,100","$85,700",30%
8,409,Business Administration,Bachelors,"$52,800","$85,600",50%
9,409,Business Administration & Accounting,Bachelors,"$52,400","$85,600",55%
10,409,Philosophy & Religion,Bachelors,"$43,800","$85,600",55%
11,412,Architectural Design,Bachelors,"$47,700","$85,400",60%
12,413,Textile Design,Bachelors,"$50,000","$85,200",43%
13,413,Interpersonal & Organizational Communication,Bachelors,"$42,400","$85,200",56%
14,415,Geographic Information Systems (GIS),Bachelors,"$50,000","$85,100",52%
