Release_Date,Rank,Movie_Title,USD_Production_Budget,USD_Worldwide_Gross,USD_Domestic_Gross,USD_Profit,Decade
1979-06-22,3598,The Muppet Movie,8000000,76657000,76657000,68657000,1970
1979-06-22,3604,Escape from Alcatraz,8000000,43000000,43000000,35000000,1970
1979-06-29,1696,Moonraker,31000000,210300000,70300000,179300000,1970
1979-06-30,5266,Dolphin,170000,14000,14000,-156000,1970
1979-07-11,3573,The Rose,8500000,29200000,29200000,20700000,1970
1979-07-12,1521,Star Trek: The Motion Picture,35000000,139000000,82258456,104000000,1970
1979-08-15,1691,Apocalypse Now,31500000,81250488,78800000,49750488,1970
1979-08-17,4173,The Life of Brian,4000000,20008693,20008693,16008693,1970
1979-10-17,4449,The Black Stallion,2700000,37799643,37799643,35099643,1970
1979-10-19,2759,Meteor,16000000,8400000,8400000,-7600000,1970
1979-12-14,1676,1941,32000000,94875000,34175000,62875000,1970
1979-12-21,2361,The Black Hole,20000000,35841901,35841901,15841901,1970
1980-01-01,1624,Lion of the Desert,35000000,1500000,1500000,-33500000,1980
1980-01-01,3805,Dressed to Kill,6500000,31899000,31899000,25399000,1980
1980-01-01,4279,Terror Train,3500000,8000000,8000000,4500000,1980
1980-01-01,5144,Maniac,350000,10000000,10000000,9650000,1980
1980-01-02,4846,The Fog,1000000,21378361,21378361,20378361,1980
1980-01-08,1414,Raise the Titanic,40000000,7000000,7000000,-33000000,1980
1980-03-10,3952,Somewhere in Time,5100000,9709597,9709597,4609597,1980
1980-03-10,3977,The Elephant Man,5000000,26010864,26010864,21010864,1980
1980-03-21,5229,Mad Max,200000,99750000,8750000,99550000,1980
1980-04-07,4264,Airplane!,3500000,83453539,83453539,79953539,1980
1980-05-12,1573,Flash Gordon,35000000,27107960,27107960,-7892040,1980
1980-05-16,3374,The Long Riders,10000000,15198912,15198912,5198912,1980
1980-05-16,5132,Home Movies,400000,89134,89134,-310866,1980
1980-05-21,2196,Star Wars Ep. V: The Empire Strikes Back,23000000,534171960,290271960,511171960,1980
1980-05-23,2536,The Shining,19000000,44391156,44017374,25391156,1980
1980-06-06,3929,Galaxina,5500000,4865000,4865000,-635000,1980
1980-06-13,2261,The Island,22000000,15716828,15716828,-6283172,1980
1980-06-20,1941,The Blues Brothers,27000000,57229890,57229890,30229890,1980
1980-06-20,2490,Can't Stop the Music,20000000,2000000,2000000,-18000000,1980
1980-06-20,4115,The Blue Lagoon,4500000,47923795,47923795,43423795,1980
1980-07-03,2805,Coal Miner's Daughter,15000000,67182787,67182787,52182787,1980
1980-07-25,3836,Caddyshack,6000000,39846344,39846344,33846344,1980
1980-09-05,5044,Friday the 13th,550000,59754601,39754601,59204601,1980
1980-09-19,3833,Ordinary People,6000000,52302978,52302978,46302978,1980
1980-10-05,5301,Penitentiary,100000,287000,287000,187000,1980
1980-10-10,2804,Private Benjamin,15000000,69847348,69847348,54847348,1980
1980-11-14,2600,Raging Bull,18000000,23380203,23380203,5380203,1980
1980-11-19,1238,Heaven's Gate,44000000,3484523,3484331,-40515477,1980
1980-12-12,2340,Popeye,20000000,49823037,49823037,29823037,1980
1981-01-01,2707,Roar,17000000,2110050,2110050,-14889950,1980
1981-01-05,5185,Graduation Day,250000,23894000,23894000,23644000,1980
1981-03-20,3177,The Postman Always Rings Twice,12000000,44200000,12200000,32200000,1980
1981-04-12,1642,Reds,33500000,50000000,50000000,16500000,1980
1981-04-30,4784,Friday the 13th Part 2,1250000,21722776,21722776,20472776,1980
1981-05-22,2617,The Legend of the Lone Ranger,18000000,13400000,13400000,-4600000,1980
1981-05-22,3804,The Four Seasons,6500000,42488161,42488161,35988161,1980
1981-06-11,3143,Time Bandits,12000000,37400000,37400000,25400000,1980
1981-06-19,969,Superman II,54000000,108185706,108185706,54185706,1980
1981-06-26,1896,For Your Eyes Only,28000000,195300000,54800000,167300000,1980
1981-06-26,2625,Dragonslayer,18000000,6000000,6000000,-12000000,1980
1981-06-26,3306,Stripes,10000000,85300000,85300000,75300000,1980
1981-07-08,3504,Heavy Metal,9300000,19571091,19571091,10271091,1980
1981-07-24,2615,Blow Out,18000000,13747234,13747234,-4252766,1980
1981-07-31,2409,Under the Rainbow,20000000,18826490,18826490,-1173510,1980
1981-08-28,4370,Gallipoli,3000000,5732587,5732587,2732587,1980
1981-09-12,2971,Taps,14000000,35856053,35856053,21856053,1980
1981-09-18,3992,Mommie Dearest,5000000,25032000,19032000,20032000,1980
1981-09-25,3922,Chariots of Fire,5500000,57467731,57159946,51967731,1980
1981-10-04,4001,Nighthawks,5000000,19600000,14600000,14600000,1980
1981-10-04,4848,The Howling,1000000,17985000,17985000,16985000,1980
1981-10-07,3840,Escape from New York,6000000,25244700,25244700,19244700,1980
1981-10-30,4474,Halloween II,2500000,25533818,25533818,23033818,1980
1981-11-02,3427,Sphinx,10000000,11400000,2000000,1400000,1980
1981-11-13,3201,The Pursuit of D.B. Cooper,12000000,2104164,2104164,-9895836,1980
1981-12-06,2306,Raiders of the Lost Ark,20000000,389925971,248159971,369925971,1980
1981-12-06,2843,Clash of the Titans,15000000,44400000,30000000,29400000,1980
1981-12-06,3256,History of the World: Part I,11000000,31672000,31672000,20672000,1980
1981-12-18,3409,Heartbeeps,10000000,6000000,6000000,-4000000,1980
1981-12-25,3612,Modern Problems,8000000,24474312,24474312,16474312,1980
1982-01-29,3024,The Border,13500000,6118683,6118683,-7381317,1980
1982-02-04,3105,Cat People,12500000,21000000,7000000,8500000,1980
1982-02-04,4011,Diner,5000000,12592907,12592907,7592907,1980
1982-03-11,3988,The Man From Snowy River,5000000,20659423,20659423,15659423,1980
1982-03-19,4161,Porky's,4000000,109492484,109492484,105492484,1980
1982-04-06,3127,Star Trek II: The Wrath of Khan,12000000,95800000,78912963,83800000,1980
1982-04-06,3290,Poltergeist,10700000,121706019,74706019,111006019,1980
1982-05-14,2355,Conan the Barbarian,20000000,79114085,38264085,59114085,1980
1982-05-21,4544,Mad Max 2: The Road Warrior,2000000,24600832,24600832,22600832,1980
1982-06-18,2286,Firefox,21000000,45785720,45785720,24785720,1980
1982-06-25,1908,Blade Runner,28000000,33139618,32656328,5139618,1980
1982-06-25,2629,Megaforce,18000000,5675599,5675599,-12324401,1980
1982-07-23,2304,The Best Little Whorehouse in Texas,20500000,69701637,69701637,49201637,1980
1982-08-12,2240,Gandhi,22000000,127767889,52767889,105767889,1980
1982-08-12,2728,The Verdict,16000000,53977250,53977250,37977250,1980
